Wavelength [um],Blue,Green,Red,NIR,Pan
0.816,0.0002,0.0001,0.0001,0.8077,0.5397
0.817,0.0002,0.0001,0.0001,0.799,0.5347
0.818,0.0003,0.0001,0.0001,0.7913,0.5281
0.819,0.0003,0.0001,0.0001,0.7848,0.5244
0.82,0.0003,0.0001,0.0001,0.7742,0.5192
0.821,0.0003,0.0001,0.0001,0.7721,0.5177
0.822,0.0003,0.0001,0.0001,0.7746,0.5187
0.823,0.0003,0.0001,0.0001,0.7716,0.5182
0.824,0.0004,0.0001,0.0001,0.7702,0.5167
0.825,0.0004,0.0001,0.0001,0.7688,0.5155
0.826,0.0005,0.0001,0.0001,0.767,0.5136
0.827,0.0004,0.0001,0.0001,0.7654,0.5136
0.828,0.0003,0.0001,0.0001,0.7654,0.5127
0.829,0.0003,0.0001,0.0001,0.7632,0.5109
0.83,0.0003,0.0001,0.0001,0.7642,0.5117
0.831,0.0003,0.0001,0.0001,0.7552,0.5049
0.832,0.0003,0.0001,0.0001,0.7497,0.5011
0.833,0.0002,0.0001,0.0001,0.7388,0.4945
0.834,0.0002,0.0001,0.0001,0.7331,0.4909
0.835,0.0002,0.0001,0.0001,0.7256,0.4851
0.836,0.0003,0.0001,0.0001,0.7212,0.4822
0.837,0.0002,0.0001,0.0001,0.7133,0.478
0.838,0.0002,0.0001,0.0001,0.706,0.4725
0.839,0.0002,0.0001,0.0001,0.6966,0.4666
0.84,0.0002,0.0001,0.0002,0.6922,0.4633
0.841,0.0002,0.0001,0.0002,0.6841,0.4583
0.842,0.0002,0.0001,0.0002,0.6783,0.4545
0.843,0.0002,0.0001,0.0002,0.6713,0.4493
0.844,0.0002,0.0001,0.0002,0.6654,0.4452
0.845,0.0002,0.0001,0.0002,0.658,0.4408
0.846,0.0002,0.0001,0.0002,0.6525,0.4363
0.847,0.0002,0.0001,0.0002,0.645,0.432
